name,exp_id,run_id,Accuracy,AbsLoss,SignedLoss,A_Value_Variance,A_Value_Ex,A_Value_Smooth,DDPG_Version,buffer.m,env.U_2,ddpg.tau_decay,env.b,env.mu,env.sigma,general_settings.max_episodes,ddpg.noise_scale,env.dt
More Multiple Env and Tau ,873203898913114948,7c6cc4599b3d4a88823ac4fae6e055e0,0.972183543,0.022655935,0.022655935,0.004758602,0.814479523,0.837135458,ShockBuffer,8,np.log,none,-7.795201721,0.406455237,0.706425352,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7c89ca3b79e24082a7208f4fc27005b8,0.740565898,0.037726636,-0.037726636,7.76373E-05,0.145418956,0.10769232,DDPG,8,np.log,none,-8.782733534,0.030445388,0.457562311,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7c96eb4f913944318d5835ca4c531cc4,0.905155195,0.066306051,-0.066306051,0.000268856,0.699100505,0.632794454,DDPG,8,np.log,none,-9.496432689,0.459813821,0.81100065,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7cbf17d0412545189de2fec4ac978100,0.142475681,0.083676989,-0.083676989,3.23744E-05,0.097579727,0.013902738,DDPG,8,np.log,linear,0.5990335,0.048732837,0.706693422,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7ce1798031ff43399c9d5039cba412f1,0.916670494,0.055329571,0.055329571,0.002036323,0.663985347,0.719314918,DDPG,8,np.log,none,-9.299232751,0.60440651,0.954081157,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7d6c3b923ac34649827cf70331e2acaf,0.988521257,0.011056377,0.011056377,0.000238824,0.96320453,0.974260906,ShockBuffer,8,np.log,linear,-9.773532367,0.24382791,0.50313259,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7dc2391997f049faa9247dd7091d6540,0.708107335,0.074390955,-0.074390955,0.00019066,0.254857228,0.180466272,DDPG,8,np.log,none,-5.258827903,0.057243611,0.473930909,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7dd375df510947779fc2af7892510341,0.978456032,0.013501582,-0.013501582,0.000238641,0.626698963,0.61319738,ShockBuffer,8,np.log,linear,-8.847308553,0.141363736,0.474940843,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7ddc92c0346f46d3ba23a460763fbf9c,0.996302179,0.001076745,-0.001076745,1.34154E-05,0.291183641,0.290106897,ShockBuffer,8,np.log,linear,-8.74802228,0.177178203,0.780048597,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7e76cd7f38c84d6997909009726d2b83,0.995798976,0.002886786,-0.002886786,0.002483604,0.687162488,0.684275702,ShockBuffer,8,np.log,none,-2.41433772,0.304905538,0.666120707,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7ee5b9485073482184ea7690356fc3b5,0.959107171,0.032358475,0.032358475,0.000398481,0.791299495,0.823657969,DDPG,8,np.log,none,-9.22752265,0.535274705,0.822465929,10000,1,0.2
More Multiple Env and Tau ,873203898913114948,7f1e223024274812ac000e9152c86df0,0.911086169,0.024731178,-0.024731178,1.63014E-06,0.278147709,0.253416531,ShockBuffer,8,np.log,linear,-2.440894591,0.225231926,0.899864732,10000,1,0.2
